"","timestep","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0.769540229885057,0.502055196711685,0.523297491039427,0.675473865594486,0.288235294117647,0.509274873524452,0.381400824014126,0.114725014784151,0.113507377979569
"2",2,0.766800689259047,0.508514386376982,0.52062163777645,0.675473865594486,0.285294117647059,0.513483146067416,0.382352941176471,0.116044997039668,0.112939841089671
"3",3,0.765077541642734,0.502055196711685,0.52480573819486,0.681609195402299,0.289071680376028,0.509264458169568,0.382716049382716,0.114997036158862,0.114577424844016
"4",4,0.767241379310345,0.501173708920188,0.520023909145248,0.675100632547441,0.286133960047004,0.517144463181563,0.381176470588235,0.116320474777448,0.113250283125708
"5",5,0.764367816091954,0.502934272300469,0.524208009563658,0.673762945914845,0.286133960047004,0.508141493542953,0.380447585394582,0.115270350564468,0.113881019830028
"6",6,0.767816091954023,0.499706744868035,0.524521531100478,0.686240644789868,0.285294117647059,0.508988764044944,0.378823529411765,0.116458704693999,0.114382785956965
"7",7,0.774008050603795,0.498827667057444,0.516457211250748,0.67741935483871,0.283950617283951,0.507588532883642,0.38,0.117647058823529,0.114949037372593
"8",8,0.770557791834388,0.494724501758499,0.519138755980861,0.680299539170507,0.283950617283951,0.504215851602024,0.384343731606828,0.116389548693587,0.113881019830028
"9",9,0.763657274295572,0.501464557703574,0.523610280932457,0.679147465437788,0.279247501469724,0.508436445444319,0.38339222614841,0.11520190023753,0.113816534541336
"10",10,0.767548906789413,0.499122293739029,0.514336917562724,0.673762945914845,0.281764705882353,0.501969611705121,0.379635079458505,0.11520190023753,0.113816534541336
"11",11,0.761219792865362,0.501462843768286,0.523297491039427,0.671461449942463,0.28169014084507,0.503378378378378,0.380223660977045,0.116320474777448,0.11262026032824
"12",12,0.762370540851554,0.495026331187829,0.52389486260454,0.663981588032221,0.283538371411834,0.504225352112676,0.380812242495586,0.117437722419929,0.109162895927602
"13",13,0.757192174913694,0.492388758782201,0.519115890083632,0.667242371905584,0.282366725248975,0.502818489289741,0.380223660977045,0.116251482799526,0.108781869688385
"14",14,0.761520737327189,0.497072599531616,0.520597014925373,0.669354838709677,0.283704572098476,0.502535211267606,0.384207424867413,0.117368109069354,0.110544217687075
"15",15,0.766301211771495,0.496487119437939,0.525373134328358,0.665324899367453,0.282697947214076,0.506478873239437,0.381036513545347,0.116182572614108,0.111741349971639
"16",16,0.763720392836511,0.499707431246343,0.525373134328358,0.665134979896611,0.280938416422287,0.506486181613085,0.378903948143783,0.113811499703616,0.111174134997164
"17",17,0.762868710237131,0.495316159250585,0.526567164179104,0.664367816091954,0.28462441314554,0.507900677200903,0.381625441696113,0.113811499703616,0.111174134997164
"18",18,0.770387507229612,0.491228070175439,0.521505376344086,0.663793103448276,0.284457478005865,0.504794134235759,0.378091872791519,0.113084665482534,0.111741349971639
"19",19,0.765760555234239,0.492990654205608,0.522414823670054,0.660919540229885,0.283284457478006,0.508178228990412,0.376325088339223,0.11301775147929,0.110102156640182
"20",20,0.764331210191083,0.496495327102804,0.523610280932457,0.660539919586445,0.280938416422287,0.513544018058691,0.375589622641509,0.114792899408284,0.10783200908059
"21",21,0.759976865240023,0.493582263710618,0.524492234169654,0.661308840413318,0.278005865102639,0.509593679458239,0.376546847377725,0.116568047337278,0.11130039750142
"22",22,0.759537572254335,0.493877551020408,0.520908004778972,0.667623421354765,0.276995305164319,0.506486181613085,0.379858657243816,0.117612293144208,0.109659090909091
"23",23,0.759953837276399,0.492128279883382,0.517303102625298,0.667621776504298,0.27614571092832,0.506486181613085,0.378903948143783,0.118794326241135,0.109659090909091
"24",24,0.765147143681477,0.488927738927739,0.513126491646778,0.666857469948483,0.2737955346651,0.503102086858432,0.379858657243816,0.117021276595745,0.11085844229676
"25",25,0.757068667051356,0.492719860221316,0.511336515513127,0.670864338866629,0.27715795654727,0.506772009029345,0.381540270429159,0.117021276595745,0.108522727272727
"26",26,0.76905311778291,0.490972626674432,0.50865671641791,0.668002289639382,0.27406103286385,0.496897913141568,0.380364491475603,0.114657210401891,0.109152927799886
"27",27,0.762564991334489,0.490412550842533,0.511336515513127,0.673153978248426,0.27112676056338,0.501974055273548,0.383078730904818,0.115770821027761,0.107000569151964
"28",28,0.755491329479769,0.494767441860465,0.505671641791045,0.673925501432665,0.27406103286385,0.506493506493506,0.386603995299647,0.116883116883117,0.109846328969835
"29",29,0.76242774566474,0.489225393127548,0.508960573476703,0.672591743119266,0.27406103286385,0.503105590062112,0.384615384615385,0.116745283018868,0.109846328969835
"30",30,0.773857721226142,0.49563191613279,0.516129032258065,0.669914040114613,0.272567409144197,0.501693002257336,0.381316098707403,0.11549793753683,0.107508532423208
"31",31,0.763005780346821,0.489225393127548,0.511961722488038,0.664756446991404,0.268779342723005,0.500282326369283,0.376028202115159,0.11497641509434,0.109215017064846
"32",32,0.764739884393064,0.495049504950495,0.509264793783622,0.668957617411226,0.271554252199413,0.499153020892151,0.381679389312977,0.116676487919859,0.109846328969835
"33",33,0.764161849710983,0.4944670937682,0.515260323159785,0.667239404352806,0.274486803519062,0.497459062676454,0.374045801526718,0.115566037735849,0.109908883826879
