"","timestep","arm1_prev","arm2_prev","arm3_prev","arm4_prev"
"1",1,0.542528735632184,0.455005624296963,0.626946107784431,0.575652173913043
"2",2,0.533908045977011,0.451939291736931,0.625149700598802,0.566376811594203
"3",3,0.540276179516686,0.45362563237774,0.619532654284002,0.566376811594203
"4",4,0.535365152386429,0.456998313659359,0.617964071856287,0.56554524361949
"5",5,0.527857553130385,0.449690837549185,0.615798922800718,0.569436374201046
"6",6,0.535591274397245,0.449747332959012,0.612574850299401,0.566860465116279
"7",7,0.539345203905801,0.453063518830804,0.617594254937163,0.565445026178011
"8",8,0.540493968983343,0.447752808988764,0.608982035928144,0.572759022118743
"9",9,0.537931034482759,0.451685393258427,0.613541042540443,0.573007562536358
"10",10,0.537399309551208,0.451739618406285,0.61377245508982,0.567771960442118
"11",11,0.540851553509781,0.452300785634119,0.605389221556886,0.565697674418605
"12",12,0.538284398388025,0.455717488789238,0.610778443113772,0.566279069767442
"13",13,0.549279538904899,0.458823529411765,0.611011370436864,0.563118091913903
"14",14,0.552479815455594,0.456935123042506,0.613636363636364,0.571511627906977
"15",15,0.541522491349481,0.453579418344519,0.607655502392344,0.565697674418605
"16",16,0.543515850144092,0.448796866256295,0.613867304243873,0.563298490127758
"17",17,0.548126801152738,0.449916060436486,0.61134328358209,0.568775391758561
"18",18,0.549913444893249,0.454697986577181,0.610513739545998,0.56322505800464
"19",19,0.541257934218119,0.44885410844047,0.609683203825463,0.569605568445476
"20",20,0.542147806004619,0.452460850111857,0.611111111111111,0.559164733178654
"21",21,0.546712802768166,0.448545861297539,0.60430364614465,0.558260869565217
"22",22,0.547289504036909,0.447368421052632,0.608228980322004,0.568195008705746
"23",23,0.547289504036909,0.451540616246499,0.609058402860548,0.569275362318841
"24",24,0.544982698961938,0.448796866256295,0.601073345259392,0.562064965197216
"25",25,0.544143104443162,0.444382336500838,0.6039309112567,0.562971561230412
"26",26,0.540150202195263,0.44885410844047,0.610017889087657,0.562064965197216
"27",27,0.54445727482679,0.4460592509782,0.60750446694461,0.55536231884058
"28",28,0.554849884526559,0.44910514541387,0.607866507747318,0.556521739130435
"29",29,0.547028274668205,0.456071628427532,0.605122096486004,0.558260869565217
"30",30,0.547866205305652,0.453325880380101,0.606674612634088,0.561413673232908
"31",31,0.545612009237875,0.454952434247342,0.608100059559261,0.557937427578216
"32",32,0.544720138488171,0.453273642977057,0.609058402860548,0.565141864504922
"33",33,0.540369088811995,0.450727883538634,0.60952380952381,0.553623188405797
"34",34,0.544143104443162,0.45067264573991,0.609654350417163,0.557937427578216
"35",35,0.542099192618224,0.453423120089787,0.609291244788565,0.55536231884058
"36",36,0.53921568627451,0.451178451178451,0.606313281715307,0.557101449275362
"37",37,0.537752161383285,0.454239191465469,0.615933412604043,0.556521739130435
"38",38,0.53110599078341,0.453063518830804,0.605466428995841,0.558840579710145
"39",39,0.537442396313364,0.448876404494382,0.603683897801545,0.556778679026651
"40",40,0.535097813578826,0.441573033707865,0.609393579072533,0.558516801853998
"41",41,0.537665324899367,0.444943820224719,0.602144133412746,0.556712962962963
"42",42,0.532758620689655,0.444631815626757,0.599643069601428,0.552342394447658
"43",43,0.536473291211947,0.445193929173693,0.601901366607249,0.551445086705202
"44",44,0.533908045977011,0.446006749156355,0.600832837596669,0.547976878612717
"45",45,0.527825588066552,0.442632170978628,0.597502972651605,0.545664739884393
"46",46,0.524956970740103,0.437886453063519,0.603807257584771,0.542989036353145
"47",47,0.524355300859599,0.439325842696629,0.601427721594289,0.545297172533179
"48",48,0.521191294387171,0.434831460674157,0.600595238095238,0.545297172533179
"49",49,0.5220377790498,0.436833239752948,0.590612002376708,0.53921568627451
"50",50,0.518878718535469,0.435710275126334,0.588235294117647,0.537218695903058
"51",51,0.514302059496567,0.430898876404494,0.585756676557863,0.529717253317946
"52",52,0.512013729977117,0.440763615946098,0.582098399525785,0.53264009243212
"53",53,0.51114922813036,0.432735426008969,0.583629893238434,0.534991324465009
"54",54,0.50485991995426,0.438340807174888,0.571174377224199,0.531557614360162
"55",55,0.502285714285714,0.436904094223219,0.577949021932424,0.527809965237543
"56",56,0.499427917620137,0.436974789915966,0.570243034973325,0.533333333333333
"57",57,0.494851258581236,0.435782389231632,0.565836298932384,0.52433371958285
"58",58,0.496279336004579,0.435782389231632,0.561944279786603,0.523451071221772
"59",59,0.493989696622782,0.432978126752664,0.56135151155898,0.528050896471949
"60",60,0.491418764302059,0.434343434343434,0.556279620853081,0.526346265199768
"61",61,0.497998856489423,0.427048260381594,0.556016597510373,0.528935185185185
"62",62,0.490566037735849,0.432659932659933,0.553052756372258,0.528083381586566
"63",63,0.484831139095592,0.429854096520763,0.550088915234143,0.520278099652375
"64",64,0.484553775743707,0.425364758698092,0.547449584816133,0.526346265199768
"65",65,0.486270022883295,0.431779898933184,0.551008303677343,0.527809965237543
"66",66,0.482561463693539,0.429533969679955,0.544807121661721,0.52695652173913
"67",67,0.479405034324943,0.423120089786756,0.542654028436019,0.527230590961761
"68",68,0.479702687249857,0.425687044307347,0.536137440758294,0.527230590961761
"69",69,0.479428571428571,0.420078519349411,0.532267613972765,0.519675925925926
"70",70,0.479130931961121,0.420078519349411,0.532267613972765,0.519397799652577
"71",71,0.476272155517439,0.417508417508417,0.533807829181495,0.520857473928158
"72",72,0.480274442538593,0.421761076836792,0.531398104265403,0.52463768115942
"73",73,0.473985134362493,0.419517666853618,0.531675547661338,0.522041763341067
"74",74,0.469679633867277,0.417508417508417,0.522794552989935,0.51768115942029
"75",75,0.465102974828375,0.420964125560538,0.51423487544484,0.518260869565217
"76",76,0.466285714285714,0.42296918767507,0.521945432977461,0.522041763341067
"77",77,0.462592804111936,0.425210084033613,0.516893894487256,0.527262180974478
"78",78,0.464877213021131,0.423292273236282,0.509780675755779,0.522344747533372
"79",79,0.456571428571429,0.421936205931729,0.514522821576763,0.522041763341067
"80",80,0.460308395202741,0.422495803021824,0.510663507109005,0.521713954834974
"81",81,0.459691252144082,0.424734191382205,0.512440758293839,0.522872032426173
"82",82,0.455117209834191,0.421936205931729,0.51423487544484,0.519397799652577
"83",83,0.452571428571429,0.424734191382205,0.513946587537092,0.521134916039375
"84",84,0.446601941747573,0.418253079507279,0.504750593824228,0.525159051474841
"85",85,0.44774414620217,0.422732362821948,0.510385756676558,0.524030110017371
"86",86,0.446601941747573,0.425210084033613,0.506516587677725,0.52518818760857
"87",87,0.444063926940639,0.427211646136618,0.506808762581409,0.523451071221772
"88",88,0.437535653166001,0.428011204481793,0.514810426540284,0.52463768115942
"89",89,0.437785388127854,0.422495803021824,0.513002364066194,0.526102088167053
"90",90,0.438996579247434,0.42641298265249,0.513897102306328,0.52433371958285
"91",91,0.429304446978335,0.429451287793953,0.514775413711584,0.527536231884058
"92",92,0.437037037037037,0.429372197309417,0.510324483775811,0.530127462340672
"93",93,0.437606837606838,0.434977578475336,0.513274336283186,0.52662037037037
"94",94,0.437856328392246,0.434660684240045,0.509734513274336,0.523174971031286
"95",95,0.436394751853965,0.431295569265283,0.510901591043017,0.528695652173913
"96",96,0.435253850541928,0.431537598204265,0.513258691809075,0.526376811594203
"97",97,0.43468339988591,0.424719101123596,0.51061320754717,0.530706836616454
"98",98,0.434360730593607,0.423033707865169,0.518606024808033,0.535341830822711
"99",99,0.433466590519703,0.426966292134831,0.514167650531287,0.531014492753623
"100",100,0.431753283837807,0.428089887640449,0.512094395280236,0.536231884057971
"101",101,0.4346087949743,0.431141090500281,0.519174041297935,0.536500579374276
"102",102,0.430365296803653,0.419336706014615,0.519480519480519,0.537391304347826
"103",103,0.428897772701314,0.428571428571429,0.515634218289086,0.53538283062645
"104",104,0.432401597261837,0.433877321328081,0.52094395280236,0.529855072463768
"105",105,0.433295324971494,0.430016863406408,0.519457547169811,0.534222737819026
"106",106,0.431339031339031,0.425759280089989,0.518278301886792,0.537790697674419
"107",107,0.431584948688712,0.430016863406408,0.513847967000589,0.535194880744619
"108",108,0.422462941847206,0.431218416619876,0.515901060070671,0.527632344386271
"109",109,0.427350427350427,0.435710275126334,0.518562168532705,0.531431897555297
"110",110,0.425071225071225,0.429292929292929,0.525633470830878,0.531741409435061
"111",111,0.426780626780627,0.426008968609865,0.52327637006482,0.52972027972028
"112",112,0.434188034188034,0.430095451993262,0.515026517383618,0.527972027972028
"113",113,0.430936073059361,0.432341381246491,0.516205067766647,0.525334886429819
"114",114,0.429549343981746,0.42247191011236,0.518562168532705,0.52972027972028
"115",115,0.426369863013699,0.425603593486805,0.52327637006482,0.521233275159977
"116",116,0.430119794637764,0.422234699606962,0.51266941661756,0.52065154159395
"117",117,0.427267541357673,0.419101123595506,0.521508544490277,0.520372526193248
"118",118,0.425228310502283,0.417088251826869,0.520329994107248,0.521258008153757
"119",119,0.42865296803653,0.424071991001125,0.519457547169811,0.514851485148515
"120",120,0.425313568985177,0.415306696679797,0.522687094873306,0.513686662783925
"121",121,0.426210826210826,0.412260967379078,0.52414605418139,0.518065268065268
"122",122,0.428734321550741,0.41826381059752,0.531526222746022,0.51426907396622
"123",123,0.425883694412771,0.415211267605634,0.525943396226415,0.512820512820513
"124",124,0.430690245293782,0.415445321307779,0.528023598820059,0.503496503496504
"125",125,0.429549343981746,0.418591549295775,0.522432113341204,0.509918319719953
"126",126,0.426697090701654,0.416666666666667,0.518890200708383,0.503210741389375
"127",127,0.426780626780627,0.411036036036036,0.51978735971648,0.508177570093458
"128",128,0.431584948688712,0.415774647887324,0.525133057362507,0.515771028037383
"129",129,0.428734321550741,0.415349887133183,0.524231678486998,0.514018691588785
"130",130,0.432401597261837,0.414455110107284,0.526875369167159,0.507017543859649
"131",131,0.434757834757835,0.413423575860124,0.529828706438275,0.503214494447691
"132",132,0.427594070695553,0.407783417935702,0.521841794569067,0.504093567251462
"133",133,0.426780626780627,0.409808342728298,0.528335301062574,0.506721215663355
"134",134,0.430444697833523,0.407323943661972,0.529515938606848,0.504093567251462
"135",135,0.42995444191344,0.407887323943662,0.528925619834711,0.501169590643275
"136",136,0.428408442669709,0.404735062006764,0.529793510324484,0.492685781158572
"137",137,0.429304446978335,0.4,0.530973451327434,0.492974238875878
"138",138,0.425071225071225,0.40169014084507,0.527122641509434,0.503508771929825
"139",139,0.425641025641026,0.397746478873239,0.525912838633687,0.504103165298945
"140",140,0.431584948688712,0.4,0.530900529723367,0.503812316715542
"141",141,0.427594070695553,0.39830985915493,0.528268551236749,0.51348182883939
"142",142,0.43019943019943,0.394144144144144,0.530936947554508,0.507611241217799
"143",143,0.435327635327635,0.393581081081081,0.524764150943396,0.50175644028103
"144",144,0.438176638176638,0.398424310635903,0.52944640753828,0.497658079625293
"145",145,0.435897435897436,0.399325084364454,0.528857479387515,0.498829039812646
"146",146,0.438746438746439,0.400224845418775,0.525882352941176,0.496781743709772
"147",147,0.437037037037037,0.402926280247608,0.530588235294118,0.499122293739029
"148",148,0.44045584045584,0.40044994375703,0.530311948204826,0.4979520187244
