"","arm","cluster","Health_Sub_District","name_1","DIDE_CODE","year","res_1","res_2","LLIN_USE_BASELINE","X3_and_over_net_use_baseline","Predominant_Brand_BASELINE","Nets_Per_person_6m","sleeping_under_net_6m","Nets_Per_person_12m","sleeping_under_net_12m","Nets_Per_person_18m","sleeping_under_net_18m","sleeping_under_net_25m","Net_Type","Distribution_Month","month","days_after_jan_2017","year.1","Prevalence_baseline_2_10_yrs","Number_tested_baseline","Prevalence_6m","Number_tested_6m","Prevalence_12m","Number_tested_12m","Prevalence_18m","Number_tested_18m","Prevalence_25m","dn0_med_2014","rn0_med_2014","gamman_med_2014","dn0_med_2017","rn0_med_2017","gamman_med_2017","seasonal_a0","seasonal_a1","seasonal_b1","seasonal_a2","seasonal_b2","seasonal_a3","seasonal_b3","itn_leave_durMean","eir_est"
"11",1,71,"Soroti Municipality","Soroti",103301,2017,0.49,0.65,0.947368421,0.351851852,"PermaNet 2.0",0.68556701,0.896907216,0.544747082,0.750972763,0.485943775,0.763052209,0.615,"Olyset Net","Jul-17",NA,195,2017,0.0921053,76,0.031746032,63,0.016666667,60,0.03030303,66,0.028,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.896717789,-2.067087381,-0.169077675,-0.942156559,-0.730111469,0.291954972,0.332245672,5.634127704,7.54195269531792
"12",1,90,"Kween","Kapchorwa",103266,2017,0.49,0.65,0.97826087,0.6,"PermaNet 2.0",0.385507246,0.704347826,0.518771331,0.85665529,0.365325077,0.684210526,0.344,"Olyset Net","Jul-17",NA,195,2017,0,81,0.02173913,92,0.011235955,89,0,85,0.038,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.806436179,-2.591998182,-0.510944598,-0.030899023,-0.464447721,-0.079769376,0.204377047,11.27324749,1
"13",1,102,"Bubulo West","Mbale",103284,2017,0.49,0.65,1,0.565217391,"OlysetNet",0.426282051,0.814102564,0.641255605,0.834080717,0.324909747,0.599277978,0.367,"Olyset Net","Jul-17",NA,195,2017,0.5339806,103,0.306818182,88,0.169230769,65,0.309278351,97,0.477,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,3.296696098,-2.195952774,-0.45366556,-0.678362884,-0.828865842,-0.197940387,0.148385755,5.168560042,109.937821638308
"14",2,2,"Bughendera","Bundibugyo",103251,2017,0.49,0.65,0.984126984,0.080645161,"PermaNet 2.0",0.536290323,0.931451613,0.392361111,0.746527778,0.284210526,0.58245614,NA,"Olyset Plus","Jul-17",NA,195,2017,0.3529412,102,0.054794521,73,0.078947368,76,0.171428571,70,NA,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.580746356,-0.527091925,-0.600614046,-1.50198419,-0.554288099,0.208562441,-0.4734048,7.096389893,32.2939626079214
"15",2,4,"Buliisa","Masindi",103282,2017,0.49,0.65,0.967213115,0.542372881,"DawaNet",0.48540146,0.916058394,0.527272727,0.822727273,0.38490566,0.743396226,0.477,"Olyset Plus","Jul-17",NA,195,2017,0.4742268,97,0.253731343,67,0.104477612,67,0.131147541,61,0.318,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,3.064618224,-1.517285438,-0.57251896,-1.424209634,-0.628146606,0.221446026,-0.064315736,5.64633582,78.3196792579546
"16",2,12,"Sheema South","Mbarara",103285,2017,0.49,0.65,0.846846847,0.914893617,"PermaNet 2.0",0.5,0.902255639,0.539370079,0.799212598,0.481343284,0.701492537,NA,"Olyset Plus","Jul-17",NA,195,2017,0.0987654,81,0.012987013,77,0,67,0,70,NA,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.085169221,0.490035026,-0.133685553,-1.447381674,-0.609622629,-0.000470121,-0.243443866,5.947950768,6.29097811428552
"17",2,13,"Sheema North","Mbarara",103285,2017,0.49,0.65,0.989247312,0.836956522,"PermaNet 2.0",0.452380952,0.911564626,0.544186047,0.855813953,0.423220974,0.700374532,NA,"Olyset Plus","Jul-17",NA,195,2017,0.0465116,86,0.01369863,73,0.015384615,65,0,70,NA,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.085169221,0.490035026,-0.133685553,-1.447381674,-0.609622629,-0.000470121,-0.243443866,15,4.88100757152749
"18",2,25,"Bukonzo West","Kasese",103267,2017,0.49,0.65,0.970149254,0.738461538,"DawaNet",0.450847458,0.766101695,0.327702703,0.594594595,0.289085546,0.554572271,NA,"Olyset Plus","Jul-17",NA,195,2017,0.025,80,0.01754386,57,0,51,0,70,NA,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.67083956,0.13064217,-0.626800461,-1.835793106,-0.779028081,0.092930363,-0.304686825,15,3.05729823139086
"19",2,29,"Kasese Municipality","Kasese",103267,2017,0.49,0.65,1,0.935064935,"PermaNet 2.0",0.529880478,0.725099602,0.519480519,0.753246753,0.381974249,0.733905579,NA,"Olyset Plus","Jul-17",NA,195,2017,0.0410959,73,0.01369863,73,0.014925373,67,0.013157895,76,NA,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.67083956,0.13064217,-0.626800461,-1.835793106,-0.779028081,0.092930363,-0.304686825,5.831381711,3.05899639216345
"20",2,33,"Bushenyi-Ishaka Municipality","Bushenyi",103252,2017,0.49,0.65,0.8,0.925,"PermaNet 2.0",0.532,0.86,0.580188679,0.764150943,0.478632479,0.717948718,0.724,"Olyset Plus","Jul-17",NA,195,2017,0.0136986,73,0,82,0,66,0,66,0,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.384329351,0.543956957,-0.297619485,-1.673696106,-0.701611434,0.058273232,-0.351621285,6.820300193,1
