arm,cluster,Health_Sub_District,name_1,DIDE_CODE,year,res_1,res_2,LLIN_USE_BASELINE,X3_and_over_net_use_baseline,Predominant_Brand_BASELINE,Nets_Per_person_6m,sleeping_under_net_6m,Nets_Per_person_12m,sleeping_under_net_12m,Nets_Per_person_18m,sleeping_under_net_18m,sleeping_under_net_25m,Net_Type,Distribution_Month,month,days_after_jan_2017,year.1,Prevalence_baseline_2_10_yrs,Number_tested_baseline,Prevalence_6m,Number_tested_6m,Prevalence_12m,Number_tested_12m,Prevalence_18m,Number_tested_18m,Prevalence_25m,dn0_med_2014,rn0_med_2014,gamman_med_2014,dn0_med_2017,rn0_med_2017,gamman_med_2017,seasonal_a0,seasonal_a1,seasonal_b1,seasonal_a2,seasonal_b2,seasonal_a3,seasonal_b3,itn_leave_durMean,eir_est
1,102,Bubulo West,Mbale,103284,2017,0.49,0.65,0.9482218,0.448545993,NA,0.495796421,0.834445268,0.522484685,0.761483088,0.410088955,0.706261368,0.512333333,Olyset Net,Jul-17,,195,2017,0.5339806,103,0.306818182,88,0.169230769,65,0.309278351,97,0.477,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,3.296696098,-2.195952774,-0.45366556,-0.678362884,-0.828865842,-0.197940387,0.148385755,7.993172349,109.9378216
2,2,Bughendera,Bundibugyo,103251,2017,0.49,0.65,0.94585784,0.570823822,NA,0.505732184,0.868640445,0.499232928,0.753224099,0.410279025,0.703031771,0.593727273,Olyset Plus,Jul-17,,195,2017,0.3529412,102,0.054794521,73,0.078947368,76,0.171428571,70,NA,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.580746356,-0.527091925,-0.600614046,-1.50198419,-0.554288099,0.208562441,-0.4734048,8.53894555,32.29396261
2,4,Buliisa,Masindi,103282,2017,0.49,0.65,0.94585784,0.570823822,NA,0.505732184,0.868640445,0.499232928,0.753224099,0.410279025,0.703031771,0.593727273,Olyset Plus,Jul-17,,195,2017,0.4742268,97,0.253731343,67,0.104477612,67,0.131147541,61,0.318,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,3.064618224,-1.517285438,-0.57251896,-1.424209634,-0.628146606,0.221446026,-0.064315736,8.53894555,78.31967926
2,12,Sheema South,Mbarara,103285,2017,0.49,0.65,0.94585784,0.570823822,NA,0.505732184,0.868640445,0.499232928,0.753224099,0.410279025,0.703031771,0.593727273,Olyset Plus,Jul-17,,195,2017,0.0987654,81,0.012987013,77,0,67,0,70,NA,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.085169221,0.490035026,-0.133685553,-1.447381674,-0.609622629,-0.000470121,-0.243443866,8.53894555,6.290978114
2,13,Sheema North,Mbarara,103285,2017,0.49,0.65,0.94585784,0.570823822,NA,0.505732184,0.868640445,0.499232928,0.753224099,0.410279025,0.703031771,0.593727273,Olyset Plus,Jul-17,,195,2017,0.0465116,86,0.01369863,73,0.015384615,65,0,70,NA,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.085169221,0.490035026,-0.133685553,-1.447381674,-0.609622629,-0.000470121,-0.243443866,8.53894555,4.881007572
2,25,Bukonzo West,Kasese,103267,2017,0.49,0.65,0.94585784,0.570823822,NA,0.505732184,0.868640445,0.499232928,0.753224099,0.410279025,0.703031771,0.593727273,Olyset Plus,Jul-17,,195,2017,0.025,80,0.01754386,57,0,51,0,70,NA,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.67083956,0.13064217,-0.626800461,-1.835793106,-0.779028081,0.092930363,-0.304686825,8.53894555,3.057298231
2,29,Kasese Municipality,Kasese,103267,2017,0.49,0.65,0.94585784,0.570823822,NA,0.505732184,0.868640445,0.499232928,0.753224099,0.410279025,0.703031771,0.593727273,Olyset Plus,Jul-17,,195,2017,0.0410959,73,0.01369863,73,0.014925373,67,0.013157895,76,NA,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.67083956,0.13064217,-0.626800461,-1.835793106,-0.779028081,0.092930363,-0.304686825,8.53894555,3.058996392
2,33,Bushenyi-Ishaka Municipality,Bushenyi,103252,2017,0.49,0.65,0.94585784,0.570823822,NA,0.505732184,0.868640445,0.499232928,0.753224099,0.410279025,0.703031771,0.593727273,Olyset Plus,Jul-17,,195,2017,0.0136986,73,0,82,0,66,0,66,0,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.384329351,0.543956957,-0.297619485,-1.673696106,-0.701611434,0.058273232,-0.351621285,8.53894555,1
2,35,Igara East,Bushenyi,103252,2017,0.49,0.65,0.94585784,0.570823822,NA,0.505732184,0.868640445,0.499232928,0.753224099,0.410279025,0.703031771,0.593727273,Olyset Plus,Jul-17,,195,2017,0.0307692,65,0.048387097,62,0,68,0,76,0,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.384329351,0.543956957,-0.297619485,-1.673696106,-0.701611434,0.058273232,-0.351621285,8.53894555,3.396932761
2,39,Fort-Portal Municipality,Kabarole,103259,2017,0.49,0.65,0.94585784,0.570823822,NA,0.505732184,0.868640445,0.499232928,0.753224099,0.410279025,0.703031771,0.593727273,Olyset Plus,Jul-17,,195,2017,0,90,0,64,0,59,0,55,0.015,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,3.022943734,-0.137865893,-0.981813387,-2.215396744,-0.821247699,0.22201976,-0.368233259,8.53894555,1
